Item Count,item name,Unit price $,Total Price*,Price with discounts*,Link,Running total $*,Running total with coupons*,part number,Notes
2,rp2040,0.98,1.96,1.96,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,2.08,2.08,1,
2,USB-C port,0.18,0.36,0.36,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,2.46,2.46,2,
2,crystal oscillator,0.07,0.14,0.14,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322512MSB4SI/C9002,2.61,2.61,3,
2,flash memory,0.69,1.38,1.38,https://jlcpcb.com/partdetail/3384470-IS25WP016D_JULETR/C2976734,4.07,4.07,4,
2,bush button,0.06,0.12,0.12,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477,4.2,4.2,5,
2,Schottky diode,0.04,0.08,0.08,https://jlcpcb.com/partdetail/TECHPUBLIC-DMG1012T/C2830301,4.28,4.28,6,
2,LDO,0.63,1.26,1.26,https://jlcpcb.com/partdetail/MicrochipTech-MCP1700T_1202ETT/C144202,5.62,5.62,7,
4,1uF capacitor,0.01,0.04,0.04,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,5.66,5.66,8,
22,0.1uf capacitor,0.01,0.22,0.22,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,5.89,5.89,9,
4,33pF capacitors,0.01,0.04,0.04,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562,5.93,5.93,10,
2,1nF Capacitor,0.01,0.02,0.02,https://jlcpcb.com/partdetail/1875-0402B102K500NT/C1523,5.95,5.95,10,
4,10uF Capacitors,0.01,0.04,0.04,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,5.99,5.99,10,
2,LED,0.01,0.02,0.02,https://jlcpcb.com/partdetail/CHONGTIAN-CT_1608UGCP4/C52675989,6.01,6.01,10,
2,470R Resistors,0.01,0.02,0.02,https://jlcpcb.com/partdetail/25860-0402WGF4700TCE/C25117,6.03,6.03,8,
4,5.1k Resistors,0.01,0.04,0.04,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,6.07,6.07,9,
4,1k Resistors,0.01,0.04,0.04,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702,6.11,6.11,10,
4,27 Resistors,0.01,0.04,0.04,https://jlcpcb.com/partdetail/Sunway-SC0402J27R0F2ANRH/C5141043,6.15,6.15,8,
2,10K Resistors,0.01,0.02,0.02,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,6.17,6.17,9,
2,100K Resistors,0.01,0.02,0.02,https://jlcpcb.com/partdetail/26484-0402WGF1003TCE/C25741,6.19,6.19,10,
2,200K Resistors,0.01,0.02,0.02,https://jlcpcb.com/partdetail/26507-0402WGF2003TCE/C25764,6.21,6.21,10,
4,1x20 pin header,1.04,4.16,4.16,https://www.digikey.com/en/products/detail/adam-tech/PH1-20-UA/9830398,10.62,10.62,12,
1,PCB,3.1,3.1,3.1,https://jlcpcb.com/partdetail/CHONGTIAN-CT_1608UGCP4/C52675989,13.91,13.91,10,
1,PCBA – parts price,33.65,33.65,33.65,https://jlcpcb.com/,49.58,49.58,10,
1,JLCPCB Shipping,7.29,7.29,3,https://jlcpcb.com/,57.31,52.76,10,
1,Digikey Shipping,6.99,6.99,6.99,https://www.digikey.com,64.72,60.17,10,
,,,,,,,,,
,,,,,,,*Rounded to two decimal places,,
