"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C10,C1";"C_0402_1005Metric";2;"1uF";;;
2;"C7,C8,C3,C6,C5,C11,C12,C2,C9,C17,C4";"C_0402_1005Metric";11;"0.1uF";;;
3;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
4;"R7,R5";"R_0402_1005Metric";2;"1K";;;
5;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
6;"R4,R3";"R_0402_1005Metric";2;"27";;;
7;"SW1";"SW_Push_SPST_NO_Alps_SKRK";1;"SW_Push";;;
8;"R6";"R_0402_1005Metric";1;"10K";;;
9;"C15,C16";"C_0402_1005Metric";2;"33pF";;;
10;"R10";"R_0402_1005Metric";1;"470R";;;
11;"U2";"SOT-23";1;"MCP1700x-120xxMB";;;
12;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
13;"Q1";"SOT-523";1;"DMG1012T";;;
14;"R2,R1";"R_0402_1005Metric";2;"5.1K";;;
15;"D1";"LED_0603_1608Metric";1;"LED";;;
16;"C18";"C_0402_1005Metric";1;"1nf";;;
17;"C14,C13";"C_0603_1608Metric";2;"10uF";;;
18;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_14P";;;
19;"J2,J3";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20";;;
20;"U3";"USON-8_L3.0-W2.0-P0.50-BL-EP";1;"W25Q128JVS";;;
21;"R8";"R_0402_1005Metric";1;"200K";;;
22;"R9";"R_0402_1005Metric";1;"100K";;;
