Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0402,2,1uF,
"C11, C12, C17, C2, C3, C4, C5, C6, C7, C8, C9",0402,11,0.1uF,
"C13, C14",0603,2,10uF,
"C15, C16",0402,2,33pF,
C18,0402,1,1nf,
D1,0603,1,Green,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
Q1,SOT-523,1,DMG1012T,
"R1, R2",0402,2,5.1K,
R10,0402,1,470R,
"R3, R4",0402,2,27,
"R5, R7",0402,2,1K,
R6,0402,1,10K,
R8,0402,1,200K,
R9,0402,1,100K,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23,1,MCP1700x-120xxMB,
U3,USON-8_L3.0-W2.0-P0.50-BL-EP,1,W25Q128JVS,C2843335
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
